date,price,open,high,low,vol,change
2022-12-30,1826.20 ,1821.80 ,1832.40 ,1819.80 ,107.50K,0.01%
2022-12-29,1826.00 ,1812.30 ,1827.30 ,1811.20 ,105.99K,0.56%
2022-12-28,1815.80 ,1822.40 ,1822.80 ,1804.20 ,118.08K,-0.40%
2022-12-27,1823.10 ,1808.20 ,1841.90 ,1808.00 ,159.62K,0.74%
2022-12-26,1809.70 ,1805.80 ,1811.95 ,1805.55 ,,0.30%
2022-12-23,1804.20 ,1801.00 ,1812.20 ,1798.90 ,105.46K,0.50%
2022-12-22,1795.30 ,1823.80 ,1829.30 ,1792.70 ,175.77K,-1.65%
2022-12-21,1825.40 ,1827.90 ,1833.80 ,1821.30 ,110.18K,0.00%
2022-12-20,1825.40 ,1796.80 ,1832.40 ,1793.70 ,197.50K,1.54%
2022-12-19,1797.70 ,1801.60 ,1808.60 ,1793.20 ,86.09K,-0.14%
2022-12-16,1800.20 ,1786.90 ,1804.20 ,1783.90 ,128.75K,0.69%
2022-12-15,1787.80 ,1818.70 ,1819.70 ,1782.00 ,185.32K,-1.70%
2022-12-14,1818.70 ,1822.60 ,1825.40 ,1806.20 ,143.80K,-0.37%
2022-12-13,1825.50 ,1792.30 ,1836.90 ,1791.80 ,230.91K,1.85%
2022-12-12,1792.30 ,1808.00 ,1809.30 ,1789.00 ,107.78K,-1.02%
2022-12-09,1810.70 ,1801.90 ,1819.00 ,1800.10 ,150.94K,0.51%
2022-12-08,1801.50 ,1799.50 ,1806.90 ,1793.20 ,116.27K,0.19%
2022-12-07,1798.00 ,1783.30 ,1803.20 ,1780.50 ,155.57K,0.88%
2022-12-06,1782.40 ,1780.80 ,1793.20 ,1779.10 ,127.86K,0.06%
2022-12-05,1781.30 ,1810.50 ,1822.90 ,1778.10 ,179.82K,-1.56%
2022-12-02,1809.60 ,1817.00 ,1818.70 ,1791.80 ,183.72K,-0.31%
2022-12-01,1815.20 ,1783.10 ,1818.40 ,1782.90 ,226.15K,3.14%
2022-11-30,1759.90 ,1763.40 ,1784.20 ,1758.20 ,192.24K,-0.22%
2022-11-29,1763.70 ,1754.60 ,1773.40 ,1752.90 ,127.32K,0.48%
2022-11-28,1755.30 ,1771.10 ,1778.50 ,1753.30 ,128.55K,0.07%
2022-11-25,1754.00 ,1751.00 ,1761.20 ,1745.90 ,134.30K,-0.08%
2022-11-24,1755.35 ,1753.05 ,1758.95 ,1752.55 ,,0.56%
2022-11-23,1745.60 ,1740.80 ,1754.90 ,1719.00 ,167.77K,0.33%
2022-11-22,1739.90 ,1739.70 ,1751.00 ,1737.60 ,153.09K,0.02%
2022-11-21,1739.60 ,1752.00 ,1755.00 ,1733.90 ,166.08K,-0.84%
2022-11-18,1754.40 ,1763.10 ,1769.90 ,1749.20 ,137.33K,-0.49%
2022-11-17,1763.00 ,1777.00 ,1777.60 ,1756.60 ,169.10K,-0.72%
2022-11-16,1775.80 ,1782.00 ,1788.20 ,1773.40 ,200.76K,-0.06%
2022-11-15,1776.80 ,1774.00 ,1791.80 ,1770.20 ,283.02K,-0.01%
2022-11-14,1776.90 ,1769.40 ,1778.40 ,1755.80 ,191.35K,0.42%
2022-11-11,1769.40 ,1758.30 ,1775.60 ,1750.30 ,227.04K,0.90%
2022-11-10,1753.70 ,1709.70 ,1760.60 ,1705.50 ,305.72K,2.33%
2022-11-09,1713.70 ,1715.20 ,1725.80 ,1705.10 ,239.65K,-0.13%
2022-11-08,1716.00 ,1678.00 ,1720.40 ,1667.10 ,297.62K,2.11%
2022-11-07,1680.50 ,1678.60 ,1685.60 ,1670.00 ,187.59K,0.23%
